 Count  Overhead File                    Line Function
 =====  ======== ====                    ==== ========
    43        43 @Base\Base.jl             33 getproperty
     5         5 @Base\Base.jl             34 setproperty!(::Neighborhood.Shi...
     4         3 @Base\Base.jl             34 setproperty!
     2         0 @Base\abstractarray.jl   971 copymutable
    16         0 @Base\abstractarray.jl   692 empty
     4         0 @Base\abstractarray.jl  1060 getindex
     1         0 @Base\abstractarray.jl  1009 pointer
     2         0 @Base\abstractarray.jl   630 similar
     1         0 @Base\abstractdict.jl     17 haskey
     1         0 @Base\array.jl           562 Array
     1         1 @Base\array.jl           894 _growat!
     8         8 @Base\array.jl           892 _growend!
     1         1 @Base\array.jl             ? _unsafe_getindex(::IndexLinear,...
    34         0 @Base\array.jl           684 collect
     1         0 @Base\array.jl           554 convert
    34         0 @Base\array.jl          2108 findall
    74        74 @Base\array.jl             ? getClosestRoute
     2         2 @Base\array.jl           809 getClosestRoute
     2         2 @Base\array.jl             ? getindex
   367       367 @Base\array.jl           809 getindex
     6         0 @Base\array.jl           817 getindex
     1         0 @Base\array.jl           819 getindex
     1         0 @Base\array.jl           747 grow_to!(::Array{Int64,1}, ::Ba...
    16         0 @Base\array.jl           749 grow_to!(::Array{Int64,1}, ::Ba...
     1         0 @Base\array.jl           750 grow_to!(::Array{Int64,1}, ::Ba...
    13         0 @Base\array.jl           751 grow_to!(::Array{Int64,1}, ::Ba...
     1         1 @Base\array.jl           767 grow_to!(::Array{Int64,1}, ::Ba...
     1         0 @Base\array.jl           769 grow_to!(::Array{Int64,1}, ::Ba...
     6         0 @Base\array.jl           773 grow_to!(::Array{Int64,1}, ::Ba...
     5         0 @Base\array.jl           778 grow_to!(::Array{Int64,1}, ::Ba...
     1         1 @Base\array.jl             ? in(::Int64, ::Array{Any,1})
     1         0 @Base\array.jl          1283 insert!
     1         1 @Base\array.jl             ? iterate
   237        28 @Base\array.jl           785 iterate
     6         6 @Base\array.jl           219 length
     7         0 @Base\array.jl           935 push!
     1         1 @Base\array.jl           942 push!
     1         0 @Base\array.jl          1085 resize!
    12        12 @Base\array.jl           847 setindex!
     2         0 @Base\array.jl           375 similar
     9         0 @Base\array.jl           379 similar
     2         0 @Base\array.jl           380 similar
     1         0 @Base\array.jl           288 unsafe_copyto!
     5         0 @Base\array.jl           521 zeros
     5         0 @Base\array.jl           525 zeros
    57        57 @Base\bool.jl             40 &
    45        45 @Base\boot.jl            406 Array
     8         0 @Base\boot.jl            415 Array
    19         0 @Base\boot.jl            425 Array
  4550         0 @Base\boot.jl            331 eval(::Module, ::Any)
  4550         0 @Base\client.jl          399 (::Base.var"#807#809"{Bool,Bool...
  4550         0 @Base\client.jl          506 _start()
  4550         0 @Base\client.jl          313 exec_options(::Base.JLOptions)
  4550         0 @Base\client.jl          383 run_main_repl(::Bool, ::Bool, :...
     5         1 @Base\deepcopy.jl        105 _deepcopy_array_t(::Any, ::Type...
     7         0 @Base\deepcopy.jl         26 deepcopy
     1         0 @Base\deepcopy.jl         45 deepcopy_internal(::String, ::I...
     1         1 @Base\deepcopy.jl         53 deepcopy_internal(::Any, ::IdDi...
     5         4 @Base\deepcopy.jl         65 deepcopy_internal(::Any, ::IdDi...
     5         0 @Base\deepcopy.jl         92 deepcopy_internal
     2         0 @Base\deepcopy.jl         92 deepcopy_internal(::Array{CVRP_...
     4         1 @Base\dict.jl             90 Dict{Int64,Nothing}()
     1         0 @Base\div.jl             263 div
     1         0 @Base\div.jl             228 fld
  4550         0 @Base\essentials.jl      710 #invokelatest#1
  4550         0 @Base\essentials.jl      709 invokelatest
     4         4 @Base\float.jl           401 +
    16        16 @Base\float.jl           465 isless
     7         0 @Base\generator.jl        44 iterate
     1         1 @Base\iddict.jl           87 get
     1         0 @Base\iddict.jl          158 in
     4         4 @Base\int.jl              86 +
     1         1 @Base\int.jl              85 -
     1         1 @Base\int.jl             440 <
    58         0 @Base\int.jl             447 <
     1         1 @Base\int.jl             441 <=
     2         2 @Base\int.jl               ? sort!(::Array{ClarkeWright.Savi...
     2         0 @Base\iterators.jl       237 iterate
     2         0 @Base\iterators.jl       429 iterate
     5         1 @Base\iterators.jl       431 iterate
     2         2 @Base\libc.jl            143 TimeVal
     3         3 @Base\libc.jl            178 TmStruct
     4         0 ...multidimensional.jl   743 _getindex
     1         1 ...multidimensional.jl   752 _unsafe_getindex(::IndexLinear,...
     2         0 ...multidimensional.jl   755 _unsafe_getindex(::IndexLinear,...
     4         0 none                       ? #83
     1         0 @Base\operators.jl       202 !=
     2         1 @Base\operators.jl      1058 in(::Int64, ::Array{Any,1})
    16         0 @Base\ordering.jl         57 lt
    16         0 @Base\ordering.jl         58 lt
    16         0 @Base\ordering.jl         59 lt
     1         1 @Base\ordering.jl         81 ord(::Function, ::Function, ::N...
     4         4 @Base\ordering.jl         85 ord(::Function, ::Function, ::B...
     1         1 @Base\pointer.jl         159 +
     2         2 @Base\promotion.jl       398 ==
     1         1 @Base\promotion.jl       398 ==(::Int64, ::Int64)
   142       142 @Base\range.jl           624 iterate
     4         0 @Base\set.jl               6 Set
     4         0 @Base\set.jl             280 _unique!
     4         0 @Base\set.jl             252 unique!
     1         1 @Base\set.jl             337 unique!(::Array{Int64,1})
